age,gender,occupation,user_id
42,M,scientist,800720
31,M,college/grad student,577694
28,F,college/grad student,207937
33,M,executive/managerial,584780
34,F,sales/marketing,149240
55,M,executive/managerial,396094
32,M,college/grad student,399883
53,F,executive/managerial,767761
40,M,sales/marketing,582140
27,M,academic/educator,136629
34,M,self-employed,618771
25,F,sales/marketing,851675
25,M,sales/marketing,183117
29,M,college/grad student,620064
21,M,K-12 student,371322
29,M,executive/managerial,29985
31,M,scientist,39446
25,M,other or not specified,847123
27,M,college/grad student,470790
33,F,executive/managerial,87708
25,M,college/grad student,75772
33,M,executive/managerial,332069
29,M,homemaker,284402
28,M,sales/marketing,334318
27,M,executive/managerial,504409
26,F,self-employed,121688
31,M,clerical/admin,907249
31,M,executive/managerial,592155
28,M,sales/marketing,668351
34,M,technician/engineer,964598
32,M,scientist,580598
19,M,sales/marketing,871589
25,M,executive/managerial,281737
39,M,programmer,225734
34,M,college/grad student,800478
26,M,sales/marketing,366759
30,M,executive/managerial,666742
34,M,college/grad student,336591
25,M,executive/managerial,819461
27,M,self-employed,940983
25,M,college/grad student,123540
29,M,other or not specified,791005
26,M,college/grad student,415122
29,F,college/grad student,641438
29,M,college/grad student,102741
30,M,executive/managerial,200423
29,F,college/grad student,188065
32,M,artist,702982
33,M,executive/managerial,227173
25,M,sales/marketing,773728
32,M,self-employed,261125
34,M,executive/managerial,559635
30,M,scientist,426824
31,M,homemaker,793292
25,F,executive/managerial,301036
87,M,scientist,157485
22,M,other or not specified,686711
33,M,scientist,116182
41,M,scientist,205171
25,M,retired,4322
31,M,other or not specified,535527
33,M,college/grad student,71793
29,M,executive/managerial,714471
33,F,executive/managerial,443064
25,M,other or not specified,69674
29,M,executive/managerial,781820
31,M,executive/managerial,649457
28,M,college/grad student,365793
30,M,college/grad student,751329
32,M,college/grad student,9696
33,F,other or not specified,377362
33,M,academic/educator,433129
25,M,executive/managerial,893978
20,M,artist,944637
32,M,artist,837503
23,M,programmer,575789
26,M,sales/marketing,167775
32,M,other or not specified,486048
33,M,sales/marketing,734590
26,F,college/grad student,73465
33,M,executive/managerial,167830
